Planet Number,Epoch,T0 Observed,Model Prediction,CTT Residuals
0,1,1658.7396116081602,1658.7088989989788,0.030712609181364314
0,2,1662.81430763462,1662.7900649222836,0.024242712336445038
0,3,1666.8797710855222,1666.8711531851022,0.008617900419949365
0,4,1670.947877299206,1670.9521637874352,-0.004286488229126917
0,5,1675.0209736264171,1675.033096729282,-0.012123102864961766
0,6,1679.0728517696807,1679.113952010643,-0.041100240962350654
0,7,,1683.1947296315182,
0,8,,1687.2754295919074,
0,9,,1691.3560518918107,
0,10,,1695.4365965312281,
0,11,,1699.5170635101597,
0,12,,1703.5974528286051,
0,13,,1707.6777644865647,
0,14,,1711.7579984840384,
0,15,,1715.8381548210261,
0,16,,1719.9182334975283,
0,17,,1723.9982345135443,
0,18,,1728.0781578690744,
0,19,,1732.1580035641186,
0,20,,1736.2377715986768,
0,21,,1740.3174619727492,
0,22,,1744.3970746863358,
0,23,,1748.4766097394365,
0,24,,1752.556067132051,
0,25,,1756.6354468641798,
0,26,,1760.7147489358226,
0,27,,1764.7939733469796,
0,28,,1768.8731200976508,
0,29,,1772.9521891878358,
0,30,,1777.031180617535,
0,31,,1781.1100943867482,
0,32,,1785.1889304954757,
0,33,,1789.267688943717,
0,34,,1793.3463697314728,
0,35,,1797.4249728587424,
0,36,,1801.5034983255262,
0,37,,1805.581946131824,
0,38,,1809.660316277636,
0,39,,1813.738608762962,
0,40,,1817.8168235878022,
0,41,,1821.8949607521565,
0,42,,1825.9730202560247,
0,43,,1830.0510020994072,
0,44,,1834.1289062823037,
0,45,,1838.2067328047142,
0,46,,1842.2844816666388,
0,47,,1846.3621528680778,
0,48,,1850.4397464090307,
0,49,,1854.5172622894977,
0,50,,1858.5947005094786,
0,51,,1862.6720610689738,
0,52,,1866.7493439679831,
0,53,,1870.8265492065066,
0,54,,1874.903676784544,
0,55,,1878.9807267020954,
0,56,,1883.057698959161,
0,57,,1887.1345935557406,
0,58,,1891.2114104918344,
0,59,,1895.2881497674425,
0,60,,1899.3648113825643,
0,61,,1903.4413953372004,
0,62,,1907.5179016313505,
0,63,,1911.5943302650148,
0,64,,1915.6706812381933,
0,65,,1919.7469545508857,
0,66,,1923.8231502030922,
0,67,,1927.8992681948127,
0,68,,1931.9753085260475,
0,69,,1936.0512711967963,
0,70,,1940.127156207059,
0,71,,1944.2029635568363,
0,72,,1948.2786932461272,
0,73,,1952.3543452749325,
0,74,,1956.4299196432517,
0,75,,1960.505416351085,
0,76,,1964.5808353984326,
0,77,,1968.656176785294,
0,78,,1972.7314405116697,
0,79,,1976.8066265775594,
0,80,,1980.8817349829633,
0,81,,1984.956765727881,
0,82,,1989.031718812313,
0,83,,1993.106594236259,
0,84,,1997.1813919997196,
0,85,,2001.2561121026938,
0,86,,2005.3307545451821,
0,87,,2009.4053193271845,
0,88,,2013.4798064487013,
0,89,,2017.554215909732,
0,90,,2021.6285477102765,
0,91,,2025.7028018503354,
0,92,,2029.7769783299082,
0,93,,2033.8510771489953,
0,94,2037.9406716460203,2037.9250983075963,0.015573338424019312
0,95,2041.999208743358,2041.9990418057114,0.00016693764655428822
0,96,,2046.0729076433408,
0,97,2050.1454894214376,2050.1466958204846,-0.0012063990470778663
0,98,2054.2181122502107,2054.2204063371414,-0.002294086930760386
0,99,,2058.2940391933134,
0,100,,2062.367594388999,
0,101,,2066.4410719241987,
0,102,,2070.514471798913,
0,103,,2074.5877940131404,
0,104,,2078.6610385668823,
0,105,,2082.7342054601386,
0,106,,2086.8072946929087,
0,107,,2090.880306265193,
0,108,,2094.9532401769916,
0,109,,2099.026096428304,
0,110,,2103.098875019131,
0,111,,2107.1715759494714,
0,112,,2111.244199219326,
0,113,,2115.316744828695,
0,114,,2119.389212777578,
0,115,,2123.461603065975,
0,116,,2127.5339156938862,
0,117,,2131.6061506613114,
0,118,,2135.6783079682505,
0,119,,2139.750387614704,
0,120,,2143.822389600671,
0,121,,2147.894313926153,
0,122,,2151.9661605911488,
0,123,,2156.0379295956586,
0,124,,2160.1096209396824,
0,125,,2164.1812346232205,
0,126,,2168.2527706462724,
0,127,,2172.3242290088388,
0,128,,2176.395609710919,
0,129,,2180.466912752513,
0,130,,2184.5381381336215,
0,131,,2188.609285854244,
0,132,,2192.6803559143805,
